Term	Notes	Russian
statuseffect_no_educated_workers_lore		Это тяжелая работа, но кто-то должен ее делать!	
statuseffect_no_educated_workers_name		Требуются образованные работники	
card_genius_name		Гений	
card_genius_description		По слухам, у него IQ 538	
card_particle_collider_name		Коллайдер частиц	
card_particle_collider_description		Столкновение частиц на очень высокой скорости	
card_particle_collider_status_0		Конструирование коллайдера частиц	
card_particle_collider_status_1		Столкновение частиц	
card_ufo_event_name		Упавший НЛО	
card_ufo_event_description		Правительство пыталось скрыть это	
cutscene_cities_event_ufo_title		Крушение
cutscene_cities_event_ufo_text_0		Это неопознанный разбившийся объект...	
cutscene_cities_event_ufo_text_1		Возможно, вам удастся разгадать некоторые из его технологий...
card_quantum_entangled_uranium_name		Квантовая материя	
card_quantum_entangled_uranium_description		Очень нестабильный ресурс, используемый в специальных машинах	
card_quantum_entangled_uranium_status_0		Запутанный уран	
statuseffect_dissolving_description		Этот ресурс со временем растворится	
statuseffect_dissolving_lore		Она очень нестабильна	
statuseffect_dissolving_name		Растворение	
card_time_machine_name		Неизвестная машина	
card_time_machine_description		Нужно много зарядов, прежде чем мы узнаем, что это такое
card_time_machine_status_0		Конструирование неизвестной машины
label_cardopedia_cities		2000
cardtype_event		События
cardtype_disaster		Катастрофы	
cardtype_weather		Погода	
card_ufo_event_status_1		Получение науки	
card_gravel_name		Гравий	
card_gravel_description		Крупнозернистый песок	
pack_cities_oil_text		Черное золото	
label_air_title		Воздух	
label_foot_title		Foot	
label_armour_title		Броня	
label_air_description		Воздушные машины хороши против бронированных машин	
label_foot_description		Пешие солдаты хороши против воздушной техники	
label_armour_description		Бронетехника хороша против пеших солдат	
label_air_lore		Я чувствую потребность... потребность в скорости	
label_foot_lore		Внимание... Стоять!
label_armour_lore		Гусеницы и шины	
card_goblin_fighter_jet_name		Военный самолет гоблинов	
card_goblin_fighter_jet_description		Гоблины теперь могут летать? Хорошо.	
card_tank_name		Танк	
card_tank_description		Безопасность на большом расстоянии	
card_tank_status_0		Строительство танка	
card_fighter_jet_name		Истребитель	
card_fighter_jet_description		Высоко в небе	
card_fighter_jet_status_0		Строительство истребителя	
card_goblin_tank_name		Гоблинский танк	
card_goblin_tank_description		Металлическое безумие	
card_goblin_soldier_name		Гоблин-солдат
card_goblin_soldier_description		Хитрый мальчишка	
card_soldier_name		Солдат	
card_soldier_description		Борется за безопасность города!
card_soldier_status_0		Обучение солдата	
card_barrack_name		Казармы	
card_barrack_description		Военное здание, превращающее рабочих в солдат и производящее транспортные средства	
card_barrack_status_0		Строительство казарм	
label_cities_game_over_title		Город в руинах	
label_cities_game_over_text		О нет, благосостояние города упало до нуля	
label_cities_game_over_text_1		Город лежит в руинах... К сожалению, этот город потерян	
card_toy_name		Игрушка		
card_toy_description		На много лет опережает конкурентов	
card_toy_status_0		Создание игрушки	
quest_cities_barrack_text		Постройте казармы	
card_event_goblin_attack_name		Конфликт с гоблинами	
card_event_goblin_attack_description		Гоблины наступают!	
card_event_goblin_attack_status_1		Нападение гоблинов приближается!	
questgroup_cities_freedom		Свобода	
questgroup_cities_power		Включить питание	
quest_cities_soldier_text		Обучить солдата	
quest_cities_tank_text		Постройте танк	
quest_cities_jet_text		Постройте истребитель 
questgroup_cities_mainquest		Продвигайте свой город	
quest_cities_power_source_text		Постройте водяное колесо	
quest_cities_fancy_apartement_text		Постройте роскошную квартиру	
quest_cities_oil_power_text		Построить нефтяную электростанцию	
quest_cities_landfill_text		Постройте полигон	
quest_cities_particle_collider_text		Постройте коллайдер частиц	
quest_cities_remove_trash_text		Убрать мусор	
quest_cities_harvest_grain_text		Собирайте зерно, чтобы накормить своих рабочих	
label_requirement_worker_amount_met		Рабочие:	
card_dollar_split		Разделение денег	
cutscene_cities_wellbeing_20_title		Новости о благополучии	
cutscene_cities_wellbeing_20_text		Благосостояние города становится все выше	
cutscene_cities_wellbeing_20_text_1		Будьте осторожны, ведь повышение уровня благосостояния приведет к нападению гоблинов!	
cutscene_cities_wellbeing_10_title		Благополучие критически важно	
cutscene_cities_wellbeing_10_text		Благополучие города достигает критического состояния	
cutscene_cities_wellbeing_10_text_1		Когда ваше благосостояние достигнет 0, город падет	
label_sellbox_cities_title		Карты экспорта	
label_sellbox_cities_description		Перетащите карты сюда, чтобы экспортировать их в монеты	
label_sell_cities		Экспорт	
card_cinema_status_2		Работникам фильм понравился!		
ideagroup_automation		Автоматизация	
ideagroup_power		Энергия	
card_cities_iron_mine_name		Железный рудник	
card_cities_iron_mine_description		Специализируется на добыче железной руды	
card_cities_iron_mine_status_0		Строительство железного рудника	
card_copper_mine_name		Медный рудник	
card_copper_mine_description		Специализируется на добыче медной руды	
card_copper_mine_status_0		Строительство медного рудника	
card_add_worker_name		Набор персонала	
card_add_worker_description		Положите 20 денег на хижину, чтобы нанять работника	
card_add_worker_status_0		Набор новых работников	
card_cities_iron_mine_status_1		Добыча железной руды	
card_copper_mine_status_1		Добыча медной руды	
pack_cities_smeltables_text		Основные металлы	
card_art_gallery_name		Художественная галерея	
card_art_gallery_description		Превращает 50 денег в произведения искусства	
card_art_gallery_status_0		Строительство художественной галереи	
card_art_gallery_status_1		Создание искусства	
quest_cities_art_gallery_text		Создайте художественную галерею	
label_blueprint_wellbeing		Закончил новый рецепт	
label_wellbeing_euphoric		Эйфорический	
label_wellbeing_happy		Счастливый	
label_wellbeing_normal		Нормальный	
label_wellbeing_unhappy		Несчастный	
label_wellbeing_miserable		Убогий	
label_wellbeing_gameover		Game Over	
label_city_wellbeing		Благополучие города	
label_hover_status_wellbeing		Наведите курсор на ячейки благополучия, чтобы узнать, почему	
label_city_advisor		Городской советник	
label_update_title_cities		Stacklands 2000
label_update_text_cities		Спасибо за покупку Stacklands 2000 DLC!##Наступила промышленная революция, и ваше маленькое жилище превратилось в большой современный город!  Управляйте благосостоянием города, создавайте инфраструктуру, используйте фабрики для производства современных материалов и многое другое! ##<i>Контент DLC становится доступен после получения достаточного количества продовольствия на материке.</i>	
label_update_text_cities_locked		Мы недавно выпустили Stacklands 2000 DLC! Наступила промышленная революция, и ваше маленькое жилище превратилось в большой современный город! Управляйте благосостоянием города, создавайте инфраструктуру, используйте фабрики для производства передовых материалов и многое другое.##- 180+ новых карт#- 50+ новых квестов#- 15 новых пакетов карт#- 3-5 часов игры	
label_menu_cities_title		Современная эпоха DLC	
label_menu_cities_title_locked		DLC «Современная эпоха» уже в продаже!	
label_cities_dlc													
card_robot_worker_name		Робот-рабочий
card_robot_worker_status_0		Конструирование робота-рабочего	
label_requirement_take_dollars_on_top		Имеет [amount] денег наверху:	
card_ready_meal_name		Готовая еда	
card_ready_meal_description		Микропластик со вкусом	
card_ready_meal_status_0		Упаковка еды	
card_landfill_status_1		Компостирование [amount] загрязнение	
card_landfill_status_2		Решение экологической катастрофы...	
card_collector_name		Коллекционер карт	
card_collector_description		Работает как магнит
card_collector_status_0		Создание коллекционера карт	
card_uranium_mine_name		Урановый рудник	
card_uranium_mine_description		Радио актив, радио актив
card_uranium_mine_status_0		Строительство уранового рудника	
card_uranium_mine_status_1		Добыча урана	
card_uranium_deposit_name		Месторождение урана	
card_uranium_deposit_description		Содержит небольшие следы урана	
card_uranium_deposit_status_0		Сбор урана	
quest_cities_academy_text		Построить академию	
label_goblin_take_land_title		Гоблины
label_goblin_take_land_text		На вашей доске появились гоблины!	
label_goblin_take_land_text_1		За каждого гоблина вне конфликта вы теряете благосостояние	
label_goblin_conflict_title		Конфликт с гоблинами 
label_goblin_conflict_text		Группа гоблинов вошла в ваш город, чтобы напасть на него	
card_radar_station_name		Радиолокационная станция
card_radar_station_description		Обнаруживает атаки за 3 луны до их совершения	
card_radar_station_status_0		Строительство радиолокационной станции	
statuseffect_radar_description		Следующий конфликт произойдет в конце луны [amount]
statuseffect_radar_lore		*бип бип*	
statuseffect_radar_name		Обнаружен конфликт!	
label_youtube_cities_dlc_title		Stacklands 2000 DLC - ранний доступ	
label_youtube_cities_dlc_text		Это специальная сборка раннего доступа к Stacklands 2000 DLC!##You can quickly get access to the new content by using our pre-made save game.##It's also possible to continue normally from where your current save is.##If you want to start from scratch, clear your save data from the settings menu.
card_financial_crisis_name		Финансовый кризис	
card_financial_crisis_description		Кредитные дефолтные свопы, обернувшиеся провалом	
label_financial_crisis_start		Финансовый кризис вот-вот ударит по экономике!	
label_financial_crisis_text		Вы находитесь в середине финансового кризиса - цены на все пакеты выросли на 150%!
card_earthquake_name		Землетрясение	
card_earthquake_description		Шкала Рихтера 6,3	
label_earthquake_start		Землетрясение!	
label_cities_earthquake_text		Некоторые строения были повреждены...	
label_cities_earthquake_text_1		Можно отремонтировать за деньги	
label_cities_earthquake_title		Это землетрясение	
label_damaged_card_cost		Использовать [amount][icon] для починки	
label_fire_card_cost		Используйте воду для тушения	
label_cities_wildfire_title		Дикий огонь!	
label_cities_wildfire_text		По городу бродит огонь...	
label_cities_wildfire_text_1		Используйте воду для тушения пожаров	
label_wildfire_start		Огненный дозор заметил Дикий огонь!
statuseffect_on_fire_description		Эта карта горит и должна быть потушена водой	
statuseffect_on_fire_lore		Гори, малыш, гори	
statuseffect_on_fire_name		В огне	
statuseffect_damaged_description		Эта карта повреждена и нуждается в починке	
statuseffect_damaged_lore		Повсюду развалины	
statuseffect_damaged_name		Поврежденный	
card_time_machine_status_1		Запуск машины времени	
card_city_advisor_name		Городской советник	
card_city_advisor_description		Посоветует вам, как вести себя в городе	
label_debug_battery		Спаун с полной батареей	
label_info_worker_space_title		Жилое пространство	
label_info_worker_space_text		Нужно [workers] [icon] для размещения ваших рабочих 
label_info_worker_space_text_1		Стройте больше жилья, чтобы не потерять благосостояние	
cutscene_cities_first_energy_title		Использование энергии	
cutscene_cities_first_energy_text_0		"Если вы хотите использовать это здание, вам необходимо подключить его к электросети."	
cutscene_cities_first_energy_text_1		"Перейдите в раздел «Вид энергии» с помощью выпадающего списка в верхней части экрана."	
cutscene_cities_first_energy_text_2		"В этом представлении вы можете соединить производителей энергии с ее потребителями. Вот пример производителя."	
cutscene_cities_first_energy_text_3		"Попробуйте соединить их, перетащив один из разъемов."	
cutscene_cities_first_energy_text_4		"Вот и все! Пусть у вас всегда будет достаточно производителей энергии!"	
card_goblin_war_ship_name		Военный корабль гоблинов	
card_goblin_war_ship_description		Плавает по семи морям	
card_war_ship_name		Военный корабль	
card_war_ship_description		Обеспечивает безопасность рыбы
card_war_ship_status_0		Строительство военного корабля	
card_goblin_attack_helicopter_name		Гоблинский вертолет	
card_goblin_attack_helicopter_description		Воздушная поддержка гоблинов	
card_attack_helicopter_name		Штурмовой вертолет	
card_attack_helicopter_description		Глаз в небе	
card_attack_helicopter_status_0		Конструирование боевого вертолета	
card_sniper_name		Снайпер	
card_sniper_description		Дальнозоркие солдаты	
card_sniper_status_0		Обучение снайпера	
card_goblin_sniper_name		Гоблин-стрелок	
card_goblin_sniper_description		Гоблин с длинной винтовкой	
pack_cities_arms_text		Министерство обороны	
card_export_center_name		Экспортный центр	
card_export_center_description		Экспортирует ресурсы, расположенные поверх него	
card_export_center_status_0		Строительство экспортного центра	
card_export_center_status_1		Экспорт карты	
statuseffect_space_description		Осталось [amount] мест для жилья. Каждый Рабочий использует 1 жилищное пространство	
statuseffect_space_lore		Просторы космоса	
statuseffect_space_name		Жилое пространство	
card_metal_scraps_status_0		Металлолом	
cutscene_cities_financial_crisis_title		Финансовый кризис	
cutscene_cities_financial_crisis_text		Напряжение нарастает, и мировой рынок рушится	
cutscene_cities_financial_crisis_text_1		Все пакеты на 50% дороже	
quest_cities_build_mine_text		Постройте рудную шахту	
quest_cities_make_landfill_text		Постройте полигон	
quest_cities_radar_station_text		Постройте радарную станцию	
label_requirement_has_pollution_landfill		Имеет более [amount] загрязнение на свалке:	
card_food_warehouse_name		Склад продуктов питания	
card_food_warehouse_description		Магазины продуктов питания	
card_food_warehouse_status_0		Строительство продовольственного склада	
card_food_warehouse_description_long		Магазины [amount] [food]	
card_food_warehouse_name_long		[food] Склад	
label_requirement_needs_healing		Поврежден в результате конфликта:	
label_toggle_on_off		Переключение вкл/выкл	
label_on_off		Вкл/выкл	
cutscene_cities_start_title		Добро пожаловать в ваш город	
cutscene_cities_start_text_0		"Привет, добро пожаловать в современный город! Я - городской советник."	
cutscene_cities_start_text_1		"Я буду заходить время от времени, чтобы помочь вам управлять городом."	
cutscene_cities_start_text_3		"Удачи!"	
statuseffect_depleted_description		Ферма истощена и нуждается в поливе	
statuseffect_depleted_lore		Сухая грязь	
statuseffect_depleted_name		Обедненный	
card_rumor_genius_name		Эврика!	
quest_cities_unlock_oil_text		Разблокируйте пакет «Черное золото»	
card_pack_sale_name		Распродажа пакетов	
card_pack_sale_text		Большая распродажа!	
card_festival_name		Фестиваль	
card_festival_description		Все празднуют	
card_festival_text		Вечеринка!	
pack_cities_industry_text		Впечатляющая промышленность
card_stadium_name		Стадион	
card_stadium_status_0		Строительство стадиона	
card_stadium_status_1		Сейчас проводится мероприятие 
card_display_2000_dlc_name		Stacklands 2000	
card_display_2000_dlc_description		Купить Stacklands 2000 DLC чтобы получить доступ к этим картам	
card_rumor_quantum_entangled_uranium_description		Две урановые карты, сталкивающиеся на высоких скоростях, должны вызвать несколько хороших искр...	
card_energy_splitter_name		Расщепитель энергии	
card_energy_splitter_description		Разделяет 1х высокое напряжение на 4х низкое напряжение	
card_energy_splitter_status_0		Создание расщепителя энергии	
card_energy_combiner_name		Комбинатор энергии	
card_energy_combiner_description		Комбинирует 3x низкое напряжение и превращает его в 1x высокое напряжение	
card_energy_combiner_status_0		Создание энергии 
label_high_voltage		Высокое напряжение	
label_low_voltage		Низкое напряжение	
label_energy_input		Требуется	
label_energy_output		Выходы	
label_connection_type_output		Выход	
label_connection_type_input		Вход	
label_connection_high_voltage		Высокое напряжение	
label_connection_low_voltage		Низкое напряжение	
card_robot_station_name		Станция роботов	
card_robot_station_description		Дома с роботами-рабочими	
card_robot_station_status_0		Конструирование роботизированной станции	
quest_cities_first_cable_text		Подключите энергетический кабель	
quest_cities_5_low_power_text		Подключите 5 низковольтных разъемов	
quest_cities_10_low_power_text		Подключите 10 низковольтных разъемов	
quest_cities_high_power_text		Подключите высоковольтный разъем	
quest_cities_5_high_power_text		Подключите 5 высоковольтных разъемов	
quest_cities_lose_wellbeing_text		Потеряйте первое очко благополучия	
quest_cities_gain_wellbeing_text		Получите свое первое очко благополучия	
quest_cities_gain_5_wellbeing_text		Получить 5 очков благополучия за луну	
quest_cities_lose_5_wellbeing_text		Потерять 5 очков благополучия за луну	
quest_cities_40_wellbeing_text		Достичь 40 благосостояний	
quest_cities_max_wellbeing_text		Максимально улучшите свое самочувствие	
quest_cities_6_workers_text		6 работников	
quest_cities_12_workers_text		12 работников	
quest_cities_6_educated_workers_text		6 образованных работников	
quest_cities_genius_text		Воспитать гения	
quest_cities_full_container_text		Полный контейнер для хранения	
quest_cities_conveyor_text		Используйте конвейер для перемещения предметов	
quest_cities_collector_text		Используйте коллекционера для сбора карт	
quest_cities_card_cap_text		Увеличьте лимит карты	
card_festival_end_text		Фестиваль подходит к концу	
card_park_name		Городской парк	
card_park_description		Приятности на свежем воздухе	
card_park_status_0		Строительство городского парка	
label_requirement_has_energy		Имеет энергию:	
cutscene_cities_first_landmark_title		Достопримечательности	
cutscene_cities_first_landmark_text_0		Достопримечательности - это важные сооружения, которые придадут городу благосостояние	
cutscene_cities_first_landmark_text_1		Некоторым достопримечательностям нужна энергия для работы - следите за тем, чтобы они работали, иначе вы потеряете благосостояние!	
card_themepark_name		Парк развлечений	
card_themepark_description		Я люблю американские горки	
card_themepark_status_0		Строительство парка развлечений	
label_blueprint_wellbeing_generation		Дает [amount] [icon] при строительстве	
label_blueprint_pollution_generation		Генерирует [amount] [icon] при строительстве	
card_villager_statue_name		Статуя деревенского жителя	
card_villager_statue_description		Вспоминая старые времена жителей деревни
card_villager_statue_status_0		Создание статуи деревенского жителя	
card_hospital_name		Больница	
card_hospital_description		Здоровье - это богатство	
card_hospital_status_0		Строительство больницы
card_airport_name		Аэропорт	
card_airport_description		Время отдыхать!	
card_airport_status_0		Строительство аэропорта	
ideagroup_landmark		Достопримечательности	
card_zoo_name		Зоопарк	
card_zoo_description		Для любителей животных	
card_zoo_status_0		Строительство зоопарка	
card_toy_factory_name		Магазин игрушек	
card_toy_factory_description		Всевозможные предметы коллекционирования	
card_toy_factory_status_0		Строительство магазина игрушек
questgroup_cities_landmark		Достопримечательности	
quest_cities_build_second_landmark_text		Постройте вторую достопримечательность	
quest_cities_all_landmarks_text		Постройте все достопримечательности	
cutscene_cities_festival_title		Фестиваль	
cutscene_cities_festival_text_0		Вашим работникам нравится фестиваль!	
cutscene_cities_pack_sale_title		РАСПРОДАЖА ПАКЕТОВ!	
cutscene_cities_pack_sale_text_0		Началась распродажа пакетов!	
card_steam_generator_name		Burner Generator	
card_steam_generator_description		Сжигает пиломатериалы для получения энергии	
card_steam_generator_status_0		Конструкция генератора горелки	
cutscene_cities_wellbeing_30_text		Ух ты, город выглядит просто потрясающе!	
cutscene_cities_wellbeing_30_text_1		По городу поползли слухи...	
label_goblin_info		За каждого гоблина вне конфликта вы будете терять 1 благополучие
card_laboratory_name		Лаборатория	
card_laboratory_description		Где создается наука	
card_laboratory_status_0		Строительство лаборатории	
card_laboratory_status_1		Заниматься наукой	
label_damaged		Поврежденный	
label_on_fire		В огне	
label_connector_info		Перетащите коннектор для соединения структур	
label_take_time_machine		Машина времени	
label_go_to_cities_mainland		Вы уверены, что хотите вернуться в город?	
label_go_to_mainland_cities		Вы уверены, что хотите вернуться на материк?	
card_time_machine_name_real		Машина времени	
card_time_machine_desctiption_real		Возвращает вас в прошлое	
label_recruiting_worker		Наем новых работников	
card_shack_name		Лачуга	
card_shack_description		Едва ли можно жить...	
card_shack_status_0		Строительство лачуги	
card_hydroponic_farm_name		Гидропонная ферма	
card_hydroponic_farm_description		Использование воды для более эффективного ведения сельского хозяйства	
card_hydroponic_farm_status_0		Строительство гидропонной фермы	
label_requirement_take_card_negative		Имеет меньше [amount]x [card] в городе:	
label_requirement_take_dollars_on_top_negative		Имеет меньше, чем [amount] денег наверху:	
label_requirement_take_dollars_negative		Имеет менее [amount] денег в городе:	
label_requirement_take_food_negative		Не в состоянии потреблять [amount] еды:	
label_requirement_has_housing_negative		Жилья нет:	
label_requirement_has_energy_negative		Не имеет энергии:
label_requirement_worker_amount_met_negative		Нет рабочих:
label_requirement_has_pollution_negative		Имеет [amount] загрязнения:	
label_requirement_needs_healing_negative		Имеет полное здоровье:	
label_requirement_has_pollution_landfill_negative		Имеет менее [amount] загрязнения:	
label_requirement_on_active_board_negative		Не в городе:	
label_requirement_in_conflict		В конфликте:	
label_requirement_in_conflict_negative		Не в конфликте:	
label_at_end_moon		В конце луны	
label_requirement_landmark_first_time		Достопримечательность впервые появилась в городе:	
label_requirement_landmark_first_time_negative		Достопримечательность города (после первого раза):	
quest_cities_city_park_text		Постройте городской парк	
quest_cities_30_wellbeing_text		Достигните 30 благосостояния	
quest_cities_20_wellbeing_text		Достигните 20 благосостояния	
quest_cities_50_wellbeing_text		Достигните 50 благосостояния	
quest_cities_disaster_text		Станьте свидетелем катастрофы	
quest_cities_get_bar_text		Выплавка руды	
quest_cities_get_uranium_text		Сбор урана	
label_abandon_city		Брошенный город	
label_abandon_city_title		Покинуть этот город	
label_abandon_city_text		Вы уверены, что хотите бросить этот город? Вы вернетесь на материк и навсегда потеряете город	
label_skip		Пропустить	
card_metal_scraps_status_2		Изготовление железного слитка	
card_iron_bar_scraps_description		Превращение обрезков в железный слиток
questgroup_cities_worker		Рабочая сила	
quest_unlocked_all_cities_packs_text		Разблокировать все пакеты	
quest_cities_build_themepark_text		Постройте тематический парк	
card_bread_2000_name		Хлеб 2000	
card_bread_2000_description		Хлеб: Заново изобретенный	
card_bread_2000_status_0		Приготовление хлеба	
label_energy_view		Изменить вид 
card_event_industrial_revolution_name		Промышленная революция	
card_event_industrial_revolution_description		Поместите жителя деревни на верхнюю часть этой карты, чтобы начать Промышленную революцию	
label_go_to_cities		Промышленная революция	
label_go_to_city_title		Stacklands 2000 - Промышленная революция	
label_go_to_city_text		Хотите начать промышленную революцию? Вы покинете материк, но всегда сможете вернуться	
label_cutscene_industrial_revolution_title		Начать революцию	
label_cutscene_industrial_revolution_text		Ваш источник пищи очень стабилен - это позволяет жителям деревни сосредоточиться на более продвинутых технологиях...	
label_cutscene_industrial_revolution_text_1		Вы открыли промышленную революцию!	
control_toggle_energy_view		Включение/выключение дисплея просмотра	
card_slums_name		Трущобы	
card_slums_description		Слишком много лачуг в одном месте	
card_slums_status_0		Превращение в трущобы	
card_copper_deposit_name		Месторождение меди	
card_copper_deposit_description		Содержит медную руду 
card_copper_deposit_status		Сбор медной руды	
card_iron_deposit_cities_name		Месторождение железа	
card_iron_deposit_cities_description		Содержит железную руду	
card_iron_deposit_cities_status		Сбор железной руды	
card_solar_panel_name		Солнечная панель	
card_solar_panel_description		Безграничная бесплатная энергия солнца	
card_solar_panel_status_0		Выработка энергии	
card_spy_name		Шпионский шпион	
card_spy_description		Выглядит как гоблин!	
label_landmark_fullname		Достопримечательность: [name]	
card_drought_name		Засуха	
card_drought_description		Пересохло!	
label_drought_start		На радаре не видно дождя	
label_cities_drought_title		Засуха	
label_cities_drought_text		Город охватила засуха	
label_cities_drought_text_1		Фермы перестанут функционировать, пока вы не дадите им 3 воды	
statuseffect_drought_description		Фермерские земли превратились в пустошь	
statuseffect_drought_lore		Здесь можно снять спагетти-вестерн	
statuseffect_drought_name		Засуха	
card_artwork_name		Произведение искусства	
card_artwork_description		Новый Ван Гог?	
card_recycling_center_description_long		Удаляет загрязнения из города. В настоящее время на территории [current] загрязнений	
card_overflowing_recycling_center_name		Переполненный центр переработки отходов
card_overflowing_recycling_center_description		Это все равно довольно мерзко	
blueprint_citiesironbar_name		Железный слиток	
quest_cities_storage_text		Построить контейнер для хранения	
blueprint_copper_bar_status		Изготовление медной шины	
card_merch_name		Мерч	Merch	Boutique	
card_merch_description		Фанаты неистовствуют!	
label_view_default		По умолчанию	
label_view_energy		Энергия	
label_view_sewage		Канализация	
label_view_transport		Транспорт
label_view_calamity		Бедствие	
label_connection_sewer		Канализация		
label_connection_transport		Транспорт	
card_septic_tank_name		Септический резервуар	
card_septic_tank_description		Хранилище какашек
card_septic_tank_status_0		Создание септического резервуара	
label_requirement_has_sewer_connected		Подключен к канализации:	
label_requirement_has_sewer_connected_negative		Не подключен к канализации:
statuseffect_no_sewer_description		Имеет шанс создать какашки, если не подключен к канализации	
statuseffect_no_sewer_lore		Очень смело оставить его отключенным	
statuseffect_no_sewer_name		Необходима канализация	
card_water_treatment_plant_name		Станция очистки воды	
card_water_treatment_plant_description		Преобразует сточные воды в воду	
card_water_treatment_plant_status_0		Строительство станции очистки воды	
card_water_treatment_plant_status_1		Фильтрация канализационных стоков	
card_food_warehouse_status_2		Хранение продуктов	
quest_cities_build_villager_statue_text		Постройте статую жителя деревни	
cardtype_landmarks		Достопримечательности	
card_road_builder_name		Дорожный строитель	
card_road_builder_description		Гильдия строителей дорог, позволяет строить дороги между картами	
card_road_builder_status_0		Создание дорожного строителя	
card_fancy_apartment_status_0		Строительство элитной квартиры	
quest_cities_time_machine_text		Постройте неизвестную машину	
quest_cities_transport_text		Подключить транспортную дорогу	
quest_cities_transport_5_text		Имеет 5 соединенных транспортных дорог
card_time_machine_status_2		Зарядка неизвестной машины	
card_alien_name		Инопланетянин	
card_alien_description		Рабочий из космоса	
card_alien_status_0		Создание инопланетянина	
cutscene_cities_villager_timemachine_title		Вааа!	
cutscene_cities_villager_timemachine_text_0		Где я оказался?	
card_rumor_genius_description		Воспитание образованного работника при уровне благосостояния города в 50 создаст гения	
card_robot_worker_description		Рабочий, сделанный из металла, не нуждается в пище!	
card_academy_description		Используется для обучения ваших работников	
card_stadium_description		Дома для спортивных мероприятий на несколько лун	
card_fossil_name		Ископаемое	
card_fossil_description		Костлявая неразбериха	
card_city_hall_description_long		Увеличивает количество карт на 2 за каждые 10 заработанных денег. Также может быть использован для переименования рабочих.	
card_city_hall_description		Увеличивает количество карт на 2 за каждые 10 заработанных денег. Также может быть использован для переименования рабочих
card_dino_name		Ти-Рекс
card_dino_description		Большой плохой дино	
card_dino_status_0		Восстановление ископаемого	
label_cities_time_ending_title		Монолог
label_cities_time_ending_text		Пришло время для моего последнего изобретения...	
label_cities_time_ending_text_1		Несмотря на то, что мы создали все эти технологии...	
label_cities_time_ending_text_2		Мы заварили большую кашу, и я с этим покончил...	
label_cities_time_ending_text_3		Я просто хочу снова поесть ягод!	
label_cities_time_ending_text_4		Я хочу убраться отсюда!	
label_cities_time_ending_text_5		До встречи!
card_robot_soldier_name		Робот-солдат	
card_robot_soldier_description		Роджер, Роджер, пиу-пау
card_robot_soldier_status_0		Обучение робота-солдата	
card_robot_genius_name		Робот-гений	
card_robot_genius_description		Искусственный интеллект	
quest_cities_robot_society_text		У вас есть 10 роботов-рабочих, но нет обычных рабочих	
quest_cities_green_energy_text		Подключите 10 энергетических кабелей к «зеленой» энергии
label_view_transport_default		Дорога
questgroup_cities_misc		Задачи города
questgroup_cities_wellbeing		Качество жизни
card_cities_cat_name		Кот 2000
card_cities_cat_description		Кошачья цивилизация?
card_cities_dog_name		Собака 2000
card_cities_dog_description		*вуф*
label_requirement_energy_workers		Имеет энергию и рабочих:
label_requirement_energy_workers_negative		Не имеет энергию и рабочих:
cutscene_cities_particle_collider_title		Коллайдер частиц
cutscene_cities_particle_collider_text		На нем есть большая красная кнопка с надписью «Старт»
cutscene_cities_particle_collider_switch		Нажать кнопку
cutscene_cities_particle_collider_text_1		Коллайдер создал нестабильную частицу!
label_energy_view_infobox_old		Выберите текущий вид
quest_cities_pets_text		Имеет 3 домашних животных	
quest_cities_trex_text		Победите Ти-рекса	
quest_cities_aliens_text		Иметь 3 инопланетянина
label_dino_laboratory		Вы собираетесь начать опасный эксперимент. Вы уверены, что хотите это сделать?
label_start_dino		Начать эксперимент
label_cancel_dino		Отменить эксперимент
card_filtered_junction_name		Фильтрующий узел
card_filtered_junction_name_long		[card] Узел
card_filtered_junction_description		Перетащите карту наверх, чтобы установить фильтр. Отфильтрованная карта будет выведена на верхнее дорожное соединение, а все остальные - на нижнее 
card_filtered_junction_status_0		Построение фильтрующего узла
card_filtered_crossroad_name		Фильтрующий перекресток
card_filtered_crossroad_name_long		[card] Перекрестков	
card_filtered_crossroad_description		Перетащите карту наверх, чтобы установить фильтр. Отфильтрованная карта будет выведена на верхнее дорожное соединение, а все остальные - на нижнее
card_filtered_crossroad_status_0		Создание фильтрующего перекрестка	
card_crab_scale_armor_description		Чешуя непробиваемая	
control_toggle_view		Изменить вид
label_energy_view_infobox		Выберите текущий вид. Вы также можете использовать [action_toggle_view] для переключения между видами
card_fancy_apartment_description		Дома [amount] Работников
card_transmission_tower_description		Брррззз. Используется для организации энергетических кабелей
card_transmission_tower_name		Электрический столб	
card_transmission_tower_status_0		Строительство электрического столба	
card_junction_name		Узел	
card_junction_description		Автоматически перенаправляет карты, лежащие сверху, на свои транспортные выходы. Циклически проходит через различные выходы по очереди	
